name,step,checkpoint_path,image_path,continuous_re,continuous_ssim,best_threshold,best_threshold_re,best_threshold_ssim,square_min,square_mean,square_max,center_mean,center_max,edge_mean,background_mean,eps_min,eps_max,eps_mean,data_loss,pde_loss,boundary_loss,integral_data_loss
results_5_3_2_square_0_3GHz_edge_calibrated_14000,14000.0,square_target\results_5_3_2_square_0_3GHz_edge_calibrated_14000\checkpoint_adam_014000.pt,square_target\results_5_3_2_square_0_3GHz_edge_calibrated_14000\comparison_adam_014000.png,0.660901421577631,0.006357384986421609,2.0100000000000007,0.6507913734559685,0.006171643346034391,2.0048701763153076,2.004871129989624,2.0048718452453613,2.004871368408203,2.0048718452453613,2.004871129989624,2.0048704147338867,2.004868507385254,2.0048718452453613,2.004870653152466,1.7959662727662362e-05,1.153989315032959,0.26504677534103394,1.2406788300722837e-05
results_5_3_2_square_0_3GHz_epsbin_0p01_highmat_0p001_2k,20000.0,square_target\results_5_3_2_square_0_3GHz_epsbin_0p01_highmat_0p001_2k\checkpoint_adam_020000.pt,square_target\results_5_3_2_square_0_3GHz_epsbin_0p01_highmat_0p001_2k\comparison_adam_020000.png,0.19720863837357414,0.9350779604895672,2.0700000000000007,0.0856074408735129,0.9897021788397781,1.7687549591064453,3.3362607955932617,3.8942065238952637,3.782217025756836,3.8891799449920654,3.1876089572906494,1.0370651483535767,1.0,3.8942065238952637,1.40493643283844,3.346634684930905e-07,0.020213060081005096,0.002015124075114727,8.470027751172893e-06
results_5_3_2_square_0_3GHz_epsbin_0p01_highmat_0p003_2k,20000.0,square_target\results_5_3_2_square_0_3GHz_epsbin_0p01_highmat_0p003_2k\checkpoint_adam_020000.pt,square_target\results_5_3_2_square_0_3GHz_epsbin_0p01_highmat_0p003_2k\comparison_adam_020000.png,0.1926130799634935,0.9385510531268098,2.040000000000001,0.08432003760011486,0.9900105304648683,1.7422921657562256,3.364762306213379,3.9264073371887207,3.8009588718414307,3.913353443145752,3.2193634510040283,1.0358792543411255,1.0,3.9264073371887207,1.4085006713867188,3.364408485140302e-07,0.02014937624335289,0.0020855041220784187,8.460378012387082e-06
results_5_3_2_square_0_3GHz_epsbin_0p01_highmat_0p01_2k,20000.0,square_target\results_5_3_2_square_0_3GHz_epsbin_0p01_highmat_0p01_2k\checkpoint_adam_020000.pt,square_target\results_5_3_2_square_0_3GHz_epsbin_0p01_highmat_0p01_2k\comparison_adam_020000.png,0.17860046588725365,0.9482022996105305,2.0700000000000007,0.0779149156372223,0.9914575223338673,1.7108211517333984,3.4402339458465576,3.975022077560425,3.835891008377075,3.9490456581115723,3.3083481788635254,1.032837986946106,1.0,3.975022077560425,1.418021321296692,3.6993864682699495e-07,0.021734807640314102,0.002432371024042368,8.457669537165202e-06
results_5_3_2_square_0_3GHz_fic100_6000,6000.0,square_target\results_5_3_2_square_0_3GHz_fic100_6000\checkpoint_adam_006000.pt,square_target\results_5_3_2_square_0_3GHz_fic100_6000\comparison_adam_006000.png,0.3010806084394636,0.8257115354908936,2.170000000000001,0.23837839379665152,0.9234493420628506,1.9855279922485352,2.8592522144317627,3.2113287448883057,3.183411121368408,3.2113287448883057,2.751199245452881,1.0945382118225098,1.0,3.2113287448883057,1.3768924474716187,2.1853747966815718e-06,0.08024637401103973,0.006854267790913582,9.16468707146123e-06
results_5_3_2_square_0_3GHz_fic300_3000,3000.0,square_target\results_5_3_2_square_0_3GHz_fic300_3000\checkpoint_adam_003000.pt,square_target\results_5_3_2_square_0_3GHz_fic300_3000\comparison_adam_003000.png,0.3154918799412663,0.8014315366870325,2.240000000000001,0.1473514347018786,0.9696266382770136,1.9621539115905762,2.6960368156433105,3.1076910495758057,3.0120413303375244,3.1076910495758057,2.5907020568847656,1.074745535850525,1.0,3.1076910495758057,1.3341522216796875,4.442218141775811e-06,0.24093389511108398,0.014461093582212925,8.823094503895845e-06
results_5_3_2_square_0_3GHz_fic500_3000,3000.0,square_target\results_5_3_2_square_0_3GHz_fic500_3000\checkpoint_adam_003000.pt,square_target\results_5_3_2_square_0_3GHz_fic500_3000\comparison_adam_003000.png,0.329656082386683,0.7798687587026523,2.160000000000001,0.16519975092413489,0.9616379911336375,1.856624960899353,2.6303584575653076,3.175678253173828,3.0445914268493652,3.175678253173828,2.4922807216644287,1.0782569646835327,1.0,3.175678253173828,1.3265931606292725,5.104506271891296e-06,0.3348153829574585,0.016338640823960304,9.062952813110314e-06
results_5_3_2_square_0_3GHz_field_integral_consistency_sanity3k,3000.0,square_target\results_5_3_2_square_0_3GHz_field_integral_consistency_sanity3k\checkpoint_adam_003000.pt,square_target\results_5_3_2_square_0_3GHz_field_integral_consistency_sanity3k\comparison_adam_003000.png,0.32643680005034315,0.7870771462539239,2.270000000000001,0.19788625362281512,0.9458082593683506,2.1222357749938965,2.6948702335357666,3.0194644927978516,2.9771909713745117,3.0194644927978516,2.6007630825042725,1.0911821126937866,1.0,3.0194644927978516,1.3477721214294434,3.131866833427921e-06,0.18244263529777527,0.010783085599541664,9.33487626753049e-06
results_5_3_2_square_0_3GHz_fixed_contrast_mask_sanity3k,3000.0,square_target\results_5_3_2_square_0_3GHz_fixed_contrast_mask_sanity3k\checkpoint_adam_003000.pt,square_target\results_5_3_2_square_0_3GHz_fixed_contrast_mask_sanity3k\comparison_adam_003000.png,0.32778696117556266,0.7853917131330327,2.270000000000001,0.20320415841005457,0.9430932725795842,2.136303186416626,2.695908308029175,3.0417428016662598,2.977163314819336,3.0417428016662598,2.602156400680542,1.093316912651062,1.0,3.0417428016662598,1.3497314453125,3.0674802928842837e-06,0.16765102744102478,0.010832412168383598,9.26120628719218e-06
results_5_3_2_square_0_3GHz_full_paper_30000,30000.0,square_target\results_5_3_2_square_0_3GHz_full_paper_30000\checkpoint_adam_030000.pt,square_target\results_5_3_2_square_0_3GHz_full_paper_30000\comparison_adam_030000.png,0.6196358278571389,0.006472931989954989,1.2,0.6507913734559685,0.006171643346034391,1.1704436540603638,1.1704436540603638,1.1704437732696533,1.1704436540603638,1.1704437732696533,1.1704436540603638,1.1704437732696533,1.1704435348510742,1.1704437732696533,1.1704437732696533,0.0007335070986300707,0.015329541638493538,0.016895215958356857,0.003046876285225153
